OBJECTID,Program,PROJIS,Notes,TFPC,Subregion,Municipality,Project Proponent,Project Name,MPO Evaluation Score,Year Programmed,Highway Division,Adjusted TFPC,Funding 2025,Funding 2026,Funding 2027,Funding 2028,Funding 2029,Funding Other,Funding Notes,Associated TIPs,Infrastructure or Service,Project Type,Year Added to Universe,Date of Last Update,Flag for Retirement?,Programmed Cost,Advertise Date,Programmed?,Origin Date,GlobalID,Geometry Notes,To_Score,Design Status,Version Last Updated,Shape__Length,CreationDate,Creator,EditDate,Editor,Response
11,Bridge On-system NHS,S12978,"This project provides design funding for an initial stage of improvements at the Interstate 95 and Route 4/225 Interchange in Lexington. The design will investigate and develop improvements at the interchange that, when implemented, will enable further traffic-calming work to be conducted on Route 4/225, Hartwell Avenue, and Wood Street. This project is listed in the MPO’s Long Range Transportation Plan, Destination 2050.","$1,650,000",MAGIC,Lexington,Lexington,Lexington- Design of Safety Improvements at the Interstate 95 and Route 4/225 Interchange,N/A,2026,4,"$1,650,000",$-,"$1,650,000",$-,$-,$-,,,,Design,Intersection Improvements,2024,,,"$1,650,000",2030-32,Scoring,,7ac07ee0-78ba-4faf-a182-86dae5d325da,,Yes,Preliminary Design,0.1,9504.11928254687,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
12,"Roadway
Reconstruction",612738,"This project will reconstruct and elevate Argilla Road between the Crane Estate driveway and Crane Beach parking lot entrance in order to protect against sunny day and King Tide coastal flood conditions through 2100. The project will widen an existing culvert and introduce new culverts in order to improve horizontal transmission of floodwaters and the marsh beneath the roadway, limiting contamination of sensitive environmental areas and further reducing the possibility for floodwaters to overtop the roadway. The project will incorporate a stabilized shoulder and embankment using native plantings to mitigate scouring and erosion while providing a safer shoulder to improve access without damaging the nearby marsh. The project also incorporates intersection safety and geometry improvements at the driveway to the Crane Estate. This project will be funded across two federal fiscal years starting in FFY 2029.","$4,628,419",NSTF,Ipswich,Ipswich,Argilla Roadway Reconstruction and Adaptation (Crane Estate to Crane Beach),37.9,2029-30,4,"$5,368,966",$-,$-,$-,$-,"$3,000,000",,Funding in 2030,,Infrastructure,Complete Streets,,05/12/2022,,"$6,600,000",05/11/2029,Y,,6624c5c6-fed2-42cf-9ded-1d9571db0d69,,,PRC Approved,0.1,862.200295584057,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
13,Transit Grant Program,S12697,"This project will expand upon the existing Pleasant Street Shuttle in Watertown, which launched in September 2021 as a partnership between the Town of Watertown and the Watertown TMA. The service runs along a 1.5-mile stretch of Pleasant Street that has no transit service. The primary goal of the project is to provide peak-hour shuttle services connecting businesses and residential locations to major transit hubs in Watertown and Cambridge. This expansion will allow the existing 60-minute headways to be reduced to 30 minutes and will support the transition of the service to an all-electric vehicle fleet. This project is funded through the third round of grants available through the MPO’s Community Connections Program.","$1,002,198",ICC,Watertown,Watertown,Pleasant Street Shuttle Service Expansion,78,2023-2025,6,"$1,002,198","$228,939",$-,$-,$-,$-,,Funding in 2024,2023-2027; 2024-2028,Service,Community Connections,,,,"$1,002,198",,Y,,59d952b3-d7dd-4a4d-80f0-2d0fcce32b6d,,,N/A,0.1,2511.57035901984,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
14,Safe_Routes_to_School,609531,"This project will provide a fully accessible safe walking route with safe roadway crossings for pedestrians and children walking to Stratton Elementary School in Arlington on Hemlock Street between Pine Street and Dickson Avenue, and Dickson Avenue.","$2,133,673",ICC,Arlington,MassDOT,Stratton School Improvements (SRTS),N/A,2025,4,"$2,133,673","$2,133,673",$-,$-,$-,$-,,,,Infrastructure,Safe Routes to School,,04/26/2024,,"$2,133,673",04/04/2025,Y,,364406a5-75e8-4e33-8b75-637a6ea2d7ff,,,100% Design,0.1,1091.87175755292,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
15,"Roadway
Reconstruction",605743,"In Ipswich, the project will reconstruct the roadway between Mineral Street and Poplar Street (3,200 feet) to improve the roadway surface. Minor geometric improvements at intersection and pedestrian crossings will be included. Sidewalks and wheelchair ramps will be improved in selected areas for ADA compliance. The drainage system is undersized and will be upgraded.","$10,859,906",NSTF,Ipswich,Ipswich,Resurfacing and Related Work on Central and South Main Streets,48,2027-28,4,"$11,728,698",$-,$-,"$6,000,000","$5,728,698",$-,,,,Infrastructure,Complete Streets,,07/12/2024,,"$11,728,698",03/26/2027,Y,,b923d033-0259-43d5-adaf-ac1b7cf6da16,,Yes (rescore),25% Design,0.1,901.125917723698,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
16,"Safety
Improvements",609532,"The project will include corridor-wide safety improvements targeted at reducing incidents for all users. Standard safety countermeasures such as improved signage, lighting, traffic-calming streetscape elements, curb extensions, signal upgrades (where applicable) and other countermeasures may be incorporated. In addition, it is expected that the corridor’s pavement, sidewalks and bus transit amenities will be improved or replaced.","$9,430,303",ICC,Chelsea,MassDOT,"Targeted Safety Improvements and Related Work on Broadway, from Williams Street to City Hall Avenue",83,2026,6,"$9,807,515",$-,"$9,807,515",$-,$-,$-,,,,Infrastructure,Intersection Improvements,,04/01/2024,,"$9,807,515",01/16/2026,Y,,b6cf7d3c-6866-4a2f-bc3b-d3a4a59bda0c,,,75% Design,0.1,842.01499806127,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
17,"Roadway
Reconstruction",608051,"This project includes the addition of five-foot bicycle lanes along both sides of the roadway along the Route 38 corridor. Sidewalks will also be provided along both sides of the roadway between Route 62 and Route 129. In addition, improved traffic signals and the reconstruction of turn lanes will enhance pedestrian safety and improve vehicular flow. This project was bisected at its midpoint by Project# 607327, Bridge Replacement, W-38-002, Route 38 (Main Street) over the B&M Railroad. The project is funded using $12,662,437 in statewide highway funds in FFY 2023 of the FFY 2023–27 TIP.","$37,452,645",NSPC,Wilmington,Wilmington,"Reconstruction of Route 38 (Main Street), from Route 62 to the Woburn City Line",59,2025,4,"$37,452,645","$37,452,645",$-,$-,$-,$-,,Unable to find the discrepancy here,,Infrastructure,Complete Streets,,01/19/2024,,"$37,978,347",06/27/2025,Y,,059e77b2-1b58-47a0-a383-d01d545292f6,,,100% Design,0.1,3441.19255951018,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
18,"Roadway
Reconstruction",606226,"The reconstruction of Rutherford Avenue from City Square to Sullivan Square will make the road a multimodal urban boulevard corridor. This project will be funded over five years, starting in FFY 2028. The total project cost is estimated to be $197,759,449 and the total funding in the FFYs 2025-29 TIP is $78,500,000. The City of Boston will contribute $25,000,000 in local matching funding towards the project.","$176,570,937",ICC,Boston,Boston,Reconstruction of Rutherford Avenue,59,2027-2028,6,"$197,759,449",$-,$-,$-,"$33,500,000","$45,000,000",,funding in 2030 and beyond,,Infrastructure,Major Infrastructure,,10/05/2020,,"$197,759,449",01/14/2028,Y,,74eb514f-2154-4224-b6a6-7af583fc8a25,,Yes (rescore),25% Design,0.1,7616.09650075701,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
19,Bicycle and Pedestrian,611982,"This project will enhance bicycle and pedestrian travel in Medford by creating a shared-use path connection under Route 28 (Fellsway) along the Mystic River. This connection will be similar to a shared-use boardwalk on the opposite side of the Mystic River in Somerville, which also runs under Route 28. Once complete, this project will be a critical connection between existing riverfront pathways along the Mystic River in Medford, including the Wellington Greenway on the east side of Route 28 and the path system within the Mystic River State Reservation on the west side of Route 28.","$6,061,917",ICC,Medford,MassDOT,Shared Use Path Connection at the Route 28/Wellington Underpass,N/A,2026,4,"$6,061,917","$6,061,917",$-,$-,$-,$-,,,,Infrastructure,Bicycle and Pedestrian,,10/31/2024,,"$6,061,917",6/27/2025,Y,,83b8f112-6dfe-4167-8c10-5f17bbd69bd2,,,75% Design,0.1,227.940573983493,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
20,"Roadway
Reconstruction",611983,"This project will improve safety along Park and Pearl Streets for all users, with a specific emphasis on improving conditions for people walking and bicycling. Smart signalization and geometric reconstruction will mitigate vehicular congestion while providing clear pedestrian paths of travel and shorter crosswalk distances via newly constructed ramps and sidewalks. This project may implement a priority bus and bike lane, beginning along Park Street at Williams Street up to the eventual surface renovation of Upper Broadway to the Revere city line, the location of an MPO-funded project in FFY 2022. Signals will allow for preferential movements of safety vehicles and MBTA buses through each intersection.","$10,451,525",ICC,Chelsea,Chelsea,Park Street & Pearl Street Reconstruction,69.9,2027,6,"$11,287,647",$-,$-,"$11,287,647",$-,$-,,,,Infrastructure,Complete Streets,,01/28/2021,,"$11,287,647",04/09/2027,Y,,dbb03a95-b9dd-4a2e-afe9-3f08c613317e,,,PRC Approved,0.1,778.015027373856,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
21,"Roadway
Reconstruction",605168,"The project improves multimodal access between Hingham Center, residential areas, and Hingham Harbor by extending the existing buffered, shared-use bike path from Rockland Street to the Hingham inner harbor. In addition, improvements to reduce vehicular accidents will be incorporated through the establishment of turn lanes and a small roundabout at the intersection of Route 3A and Summer Street.","$27,633,108",SSC,Hingham,Hingham,"Intersection Improvements at Route 3A, from Otis Street/Cole Road including Summer Street and Rotary, Rockland Street to George Washington Boulevard",57,2025,5,"$28,738,432",$-,"$28,738,432",$-,$-,$-,,,,Infrastructure,Complete Streets,,04/29/2024,,"$28,738,432",01/16/2026,Y,,f50efbe5-47d9-4194-b21c-f8ef2b8479b7,,,75% Design,0.1,3442.27777264389,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
22,Bicycle and Pedestrian,610544,"The project includes construction of a new 12-foot-wide multi-use paved path along the abandoned railbed between two existing segments of the Independence Greenway in Peabody. The project also includes a connection to the existing Border to Boston trailhead at Lowell Street. The work includes full-depth pavement construction, minor drainage improvements, vegetative privacy screening, new and reset granite curb, new cement concrete sidewalk and hot mix asphalt, signal upgrades at the intersections of Lowell and Bourbon Streets and Route 1 northbound and Lowell Street, a new two-span steel pedestrian bridge, and various curb, walking, and parking improvements to the existing parking lot at 215 Newbury Street.","$13,966,099",NSTF,Peabody,Peabody,Multi-Use Path Construction of Independence Greenway at Interstate 95 and Route 1,53,2025,4,"$13,966,099","$13,966,099",$-,$-,$-,$-,,,,Infrastructure,Bicycle and Pedestrian,,9/12/2024,,"$13,966,099",09/29/2025,Y,,b868560f-1078-4ad3-aeab-47ba9ed5b599,,,75% Design,0.1,2064.67380109564,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
23,Non-Interstate Pavement,S12979,"This project will design a reconfiguration of Broadway in Arlington between Alewife Brook Parkway and Massachusetts Avenue for improved access by persons who walk, bike, roll, or use transit. The design will also investigate methods for improving stormwater management and mitigating urban heat island impacts. This project may be ready to advertise for construction as early as FFY 2030.","$1,395,000",ICC,Arlington,Arlington,Arlington- Broadway Complete Streets Design,80.1,2025,4,"$1,395,000","$1,395,000",$-,$-,$-,$-,,,,Design,Complete Streets,,,,"$1,395,000",,Y,,1d5d258c-14fe-4cba-a132-d1dcc7b9ffa0,,,N/A,0.1,1617.70200730708,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
24,Railroad Crossings,608436,"The primary purpose of the project is to improve the safety features for the roadway corridors of Cherry Street and Main Street in order to establish a Federal Railroad Administration Quiet Zone surrounding the railroad crossings on those two roadways. This goal will primarily be accomplished through the installation of roadway medians and the enhancement of existing railroad crossing signals and gates. In addition, the project addresses a critical gap in the pedestrian sidewalk network through the construction of new sidewalks. The project’s other goals include improving the existing roadway condition through pavement reconstruction and enhancing stormwater drainage in the project area.","$1,175,303",MWRC,Ashland,Ashland,Rehabilitation and Rail Crossing Improvements on Cherry Street,38,2028,3,"$1,316,339",$-,$-,$-,"$1,316,339",$-,,,,Infrastructure,Intersection Improvements,,08/19/2020,,"$1,316,339",01/14/2028,Y,,94452315-0493-44af-ba8e-b700bec640d6,,,25% Design,0.1,278.378386852392,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
25,Bicycle and Pedestrian,613088,This project will construct a 1.1 mile shared-use path connecting Coytemore Lea Park in Malden’s Oak Grove neighborhood with the Northern Strand Community Trail and Malden River via downtown Malden. The project will replace existing sidewalk infrastructure and adjust roadway widths to accommodate a new 11-foot-wide shared-use facility within the existing right-of-way.,"$4,337,613",ICC,Malden,Malden,Spot Pond Brook Greenway,73,2027,4,"$4,858,127",$-,$-,$-,"$4,858,127",$-,,,,Infrastructure,Bicycle and Pedestrian,,12/20/2022,,"$4,684,622",,Y,,08f0a0fc-df2e-4fd7-9448-11f626ac74ad,,,PRC Approved,0.1,2052.01658650181,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
26,"Roadway
Reconstruction",609257,"This Complete Streets project involves the reconstruction of Beacham Street to reduce vehicular collisions and improve bicycle travel. This project also includes the implementation of a shared-use bike path with a buffer along 0.65 miles of the Beacham Street corridor, a major connection between Boston, Somerville, and Cambridge, and Chelsea and East Boston. To promote pedestrian safety, upgrades to traffic signals, pavement markings, and sidewalk conditions will be incorporated to reduce conflict with vehicular traffic and provide an ADA-compliant travel route.","$11,610,600",ICC,Everett,Everett,"Rehabilitation of Beacham Street, from Route 99 to Chelsea City Line",54,2027,4,"$12,539,448",$-,$-,"$12,539,448",$-,$-,,,,Infrastructure,Complete Streets,,05/08/2024,,"$12,539,448",12/18/2026,Y,,46738978-1a84-4a99-b2ce-9ccc6bc34f4b,,,25% Design,0.1,1031.01817981247,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
27,Bicycle and Pedestrian,610691,This project will extend the Cochituate Rail Trail in Natick from its current terminus at Mechanic Street southward via a shared-use bridge to connect to the Natick Center Commuter Rail Station and Route 27.,"$6,690,044",MWRC,Natick,Natick,"Cochituate Rail Trail Extension, from MBTA Station to Mechanic Street",67,2028,3,"$7,492,849",$-,$-,$-,"$7,492,849",$-,,,,Infrastructure,Bicycle and Pedestrian,,09/04/2024,,"$7,492,849",12/03/2027,Y,,45e47103-b61f-4fd8-a268-7c9ffdb89ea0,,,25% Design,0.1,445.523197249458,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
28,"Safety
Improvements",610823,"This project will signalize the off-ramps for Interstate 93 at Willard Street and Ricciuti Drive to improve safety for all roadway users. The design of the project is currently at 75 percent. Construction of a small shared-use path connection is proposed on Willard Street to connect to future bicycle accommodations planned by the City of Quincy along Ricciuti Drive to provide connections to Quincy Quarries and multifamily residential developments. In addition to the shared-use path, the project will also upgrade all sidewalks to meet current ADA standards and improve the safety of pedestrian crossings.","$1,812,839",ICC,Quincy,Quincy,Intersection Improvements at Willard Street and Ricciuti Drive,41.1,2026,6,"$1,885,353",$-,"$1,885,353",$-,$-,$-,,,,Infrastructure,Intersection Improvements,,06/12/2024,,"$1,885,353",,Y,,80d4abd9-1137-46ef-93f7-ddd48c5d3842,,,75% Design,0.1,317.378174725338,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
29,"Roadway
Reconstruction",609252,"This project is focused on making key safety improvements for pedestrians and bicyclists. Existing sidewalks on Essex Street will be reconstructed to ADA/AAB standards and will be complemented by the addition of new on-street bicycle facilities. Pedestrian safety will be improved through the construction of curb bump-outs at intersections to reduce crosswalk length. In addition, operational improvements such as signal updates and pavement markings will be established to enhance safety.","$18,941,000",ICC,Lynn,Lynn,Rehabilitation of Essex Streeet,66,2026; 2027,4,"$19,698,640",$-,"$10,000,000","$9,698,640",$-,$-,,,,Infrastructure,Complete Streets,,12/06/2018,,"$19,698,640",09/29/2026,Y,,39419c5c-464c-406b-9154-a47b9b5e926e,,,PRC Approved,0.1,1574.49924663829,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
30,"Roadway
Reconstruction",608954,"This project will improve pavement and roadway conditions along a 3.7-mile segment of Route 30 and make geometric and safety improvements at intersections along the corridor. A key goal of the project is to create a corridor that better serves all users, especially those who are walking and bicycling. To that end, this project will construct a 10-foot off-road shared-use path along the full length of the project. The path will run along the south side of the roadway from the Natick town line to the intersection at Newton Street, crossing to the north side at Newton Street to continue to the end of the project limits. This path will connect with other proposed bicycle and pedestrian accommodations in the area, including on the Route 30 bridge over the Charles River (Project# 110980, funded by the MPO in FFY 2024) and on Route 30 in Newton (Project# 610674, funded by MassDOT in FFY 2023).","$18,518,252",MWRC,Weston,Weston,Reconstruction on Route 30,49.2,2026,6,"$19,999,712",$-,$-,"$19,999,712",$-,$-,,,,Infrastructure,Complete Streets,,09/22/2022,,"$19,999,712",05/08/2027,Y,,f356ecd3-9c70-4f71-a071-f7604656c1b5,,,25% Design,0.1,5926.6507262631,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
