OBJECTID,FREQUENCY,statefp20,countyfp20,tractce20,blockce20,tip_id,geoid_20,geoid,Shape_Length,lengthbyfreq,area_fraction
101,2,25,9,202200,1008,610666,2.50092E+14,250092022001008!!,329.0804551,164.5402275,0.982546546
102,2,25,9,202200,1009,610666,2.50092E+14,250092022001009!!,390.9393081,195.4696541,1
103,2,25,9,202200,1010,610666,2.50092E+14,250092022001010!!,526.3765836,263.1882918,1
104,2,25,9,202200,1011,610666,2.50092E+14,250092022001011!!,979.4435513,489.7217756,1
105,2,25,9,202200,1012,610666,2.50092E+14,250092022001012!!,678.474477,339.2372385,0.991360518
106,2,25,9,202200,1013,610666,2.50092E+14,250092022001013!!,364.8108582,182.4054291,1
107,2,25,9,202200,1014,610666,2.50092E+14,250092022001014!!,388.6120055,194.3060027,0.999880933
108,2,25,9,202200,1015,610666,2.50092E+14,250092022001015!!,853.6070467,426.8035234,0.999836485
109,2,25,9,202200,1016,610666,2.50092E+14,250092022001016!!,645.9191287,322.9595643,0.999947133
110,2,25,9,202200,1017,610666,2.50092E+14,250092022001017!!,239.4863124,119.7431562,0.997218969
111,2,25,9,202200,1018,610666,2.50092E+14,250092022001018!!,599.1320844,299.5660422,1
112,2,25,9,202200,1019,610666,2.50092E+14,250092022001019!!,280.9687743,140.4843871,0.988516525
113,2,25,9,202200,1020,610666,2.50092E+14,250092022001020!!,334.0277028,167.0138514,1
114,2,25,9,202200,1021,610666,2.50092E+14,250092022001021!!,539.6001864,269.8000932,0.972945749
115,2,25,9,202200,2004,610666,2.50092E+14,250092022002004!!,924.9708491,462.4854246,0.683035567
116,2,25,9,202200,2005,610666,2.50092E+14,250092022002005!!,744.6613982,372.3306991,1
117,2,25,9,202200,2010,610666,2.50092E+14,250092022002010!!,470.1888581,235.0944291,0.480016216
118,2,25,9,202200,2011,610666,2.50092E+14,250092022002011!!,253.3069624,126.6534812,0.814007421
119,2,25,9,202200,2013,610666,2.50092E+14,250092022002013!!,60.06850531,30.03425266,0.031919671
120,2,25,9,202200,2014,610666,2.50092E+14,250092022002014!!,227.0265047,113.5132524,0.498340366
121,2,25,9,202200,3003,610666,2.50092E+14,250092022003003!!,169.8659667,84.93298333,0.184136525
122,2,25,9,202200,3004,610666,2.50092E+14,250092022003004!!,398.3922538,199.1961269,0.284550214
123,2,25,9,202200,3006,610666,2.50092E+14,250092022003006!!,377.255864,188.627932,0.854909674
124,2,25,9,202200,4000,610666,2.50092E+14,250092022004000!!,1351.131747,675.5658737,1
125,2,25,9,202200,4001,610666,2.50092E+14,250092022004001!!,521.5548895,260.7774447,0.486169871
126,2,25,9,202200,4002,610666,2.50092E+14,250092022004002!!,520.1934347,260.0967173,0.332698645
127,2,25,9,202200,4004,610666,2.50092E+14,250092022004004!!,2042.304115,1021.152057,0.632904256
128,2,25,9,202200,4005,610666,2.50092E+14,250092022004005!!,511.900636,255.950318,0.99091919
129,2,25,9,202200,4006,610666,2.50092E+14,250092022004006!!,503.7997815,251.8998907,1
130,2,25,9,202200,4007,610666,2.50092E+14,250092022004007!!,1192.582357,596.2911786,0.997432509
131,2,25,9,202200,4010,610666,2.50092E+14,250092022004010!!,425.440306,212.720153,0.484658334
132,2,25,9,202200,5001,610666,2.50092E+14,250092022005001!!,1406.984275,703.4921375,0.903135457
133,2,25,9,202200,5002,610666,2.50092E+14,250092022005002!!,499.1358795,249.5679397,0.883137134
134,2,25,9,202200,5003,610666,2.50092E+14,250092022005003!!,1510.984807,755.4924033,0.998747672
135,2,25,9,202200,5004,610666,2.50092E+14,250092022005004!!,884.9368081,442.468404,0.999934657
136,2,25,9,202200,5005,610666,2.50092E+14,250092022005005!!,619.0447852,309.5223926,1
137,2,25,9,202200,5006,610666,2.50092E+14,250092022005006!!,465.1628039,232.5814019,0.994006849
138,2,25,9,202200,5007,610666,2.50092E+14,250092022005007!!,667.1832568,333.5916284,0.991603372
139,2,25,9,202200,5008,610666,2.50092E+14,250092022005008!!,2422.737017,1211.368508,1
140,2,25,9,202200,5009,610666,2.50092E+14,250092022005009!!,422.3427677,211.1713838,1
141,2,25,9,202200,5010,610666,2.50092E+14,250092022005010!!,903.5546774,451.7773387,1
142,2,25,9,202200,5011,610666,2.50092E+14,250092022005011!!,465.1440683,232.5720341,1
143,2,25,9,202200,5012,610666,2.50092E+14,250092022005012!!,1813.221123,906.6105613,0.999985228
144,2,25,9,202200,5013,610666,2.50092E+14,250092022005013!!,649.5528877,324.7764439,1
145,2,25,9,202200,5014,610666,2.50092E+14,250092022005014!!,1000.199979,500.0999897,0.928445522
146,2,25,9,202200,5015,610666,2.50092E+14,250092022005015!!,702.448898,351.224449,0.998476365
147,2,25,9,202200,5016,610666,2.50092E+14,250092022005016!!,732.3106756,366.1553378,0.996527172
148,2,25,9,202200,5017,610666,2.50092E+14,250092022005017!!,353.2482788,176.6241394,1
149,2,25,9,202200,5018,610666,2.50092E+14,250092022005018!!,454.9040986,227.4520493,0.998919305
150,2,25,9,202200,5019,610666,2.50092E+14,250092022005019!!,375.7904506,187.8952253,0.987716999
151,2,25,9,202200,5020,610666,2.50092E+14,250092022005020!!,888.3916137,444.1958069,0.9207235
152,2,25,9,202200,5021,610666,2.50092E+14,250092022005021!!,505.1102783,252.5551392,0.999199387
153,2,25,9,202200,5022,610666,2.50092E+14,250092022005022!!,780.1816097,390.0908048,0.841683293
154,2,25,9,202200,6001,610666,2.50092E+14,250092022006001!!,726.7377321,363.368866,0.407622656
155,2,25,9,202200,6002,610666,2.50092E+14,250092022006002!!,662.415179,331.2075895,1
156,2,25,9,202200,6003,610666,2.50092E+14,250092022006003!!,560.3410587,280.1705293,1
157,2,25,9,202200,6004,610666,2.50092E+14,250092022006004!!,161.2826346,80.64131728,0.218062672
158,2,25,9,202200,6005,610666,2.50092E+14,250092022006005!!,111.7155452,55.85777258,0.406592568
159,2,25,9,202200,6006,610666,2.50092E+14,250092022006006!!,246.832278,123.416139,1
160,2,25,9,202200,6007,610666,2.50092E+14,250092022006007!!,67.41733082,33.70866541,0.04830586
161,2,25,9,202200,6010,610666,2.50092E+14,250092022006010!!,3.048097387,1.524048694,0.002116374
162,2,25,9,203100,3000,610666,2.50092E+14,250092031003000!!,687.5317183,343.7658591,0.221091404
163,2,25,9,203100,3001,610666,2.50092E+14,250092031003001!!,325.435159,162.7175795,0.871919168
164,2,25,9,203100,3002,610666,2.50092E+14,250092031003002!!,206.5270385,103.2635193,0.391618181
165,2,25,9,203100,3003,610666,2.50092E+14,250092031003003!!,333.9883443,166.9941721,0.194348259
166,2,25,9,203100,3004,610666,2.50092E+14,250092031003004!!,437.3475427,218.6737714,0.706809031
167,2,25,9,203100,3005,610666,2.50092E+14,250092031003005!!,657.1604304,328.5802152,0.999991995
168,2,25,9,203100,3006,610666,2.50092E+14,250092031003006!!,291.1648942,145.5824471,0.999843784
169,2,25,9,203100,3007,610666,2.50092E+14,250092031003007!!,866.0830257,433.0415128,0.999895581
170,2,25,9,203100,3008,610666,2.50092E+14,250092031003008!!,1149.107112,574.5535558,0.999944939
171,2,25,9,203100,3009,610666,2.50092E+14,250092031003009!!,2000.178095,1000.089047,0.992934547
172,2,25,9,203100,3010,610666,2.50092E+14,250092031003010!!,250.8518152,125.4259076,0.994399614
173,2,25,9,203100,5007,610666,2.50092E+14,250092031005007!!,331.5252849,165.7626424,0.153724175
174,2,25,9,203100,5008,610666,2.50092E+14,250092031005008!!,281.5765813,140.7882907,0.96668852
175,2,25,9,203100,5010,610666,2.50092E+14,250092031005010!!,342.7721934,171.3860967,0.497643613
176,2,25,9,203100,5011,610666,2.50092E+14,250092031005011!!,160.0721308,80.0360654,0.10940361
177,2,25,9,203100,5013,610666,2.50092E+14,250092031005013!!,490.6764782,245.3382391,0.952976218
178,2,25,9,203100,6000,610666,2.50092E+14,250092031006000!!,312.8338518,156.4169259,0.878065338
179,2,25,9,203100,6001,610666,2.50092E+14,250092031006001!!,1548.197506,774.098753,0.650036568
180,2,25,9,203100,6002,610666,2.50092E+14,250092031006002!!,1336.193796,668.0968979,1
181,2,25,9,203100,6003,610666,2.50092E+14,250092031006003!!,519.2621876,259.6310938,0.999608133
182,2,25,9,203100,6004,610666,2.50092E+14,250092031006004!!,164.6985864,82.34929321,0.142528952
183,2,25,9,203100,6006,610666,2.50092E+14,250092031006006!!,696.6360619,348.318031,1
184,2,25,9,203100,6007,610666,2.50092E+14,250092031006007!!,325.2489641,162.624482,0.997923323
185,2,25,9,203100,6008,610666,2.50092E+14,250092031006008!!,1091.720368,545.8601839,0.999322777
186,2,25,9,203100,6009,610666,2.50092E+14,250092031006009!!,342.6059805,171.3029903,1
187,2,25,9,203100,7008,610666,2.50092E+14,250092031007008!!,142.9772263,71.48861316,0.169193452
188,2,25,9,203100,7010,610666,2.50092E+14,250092031007010!!,22.5676872,11.2838436,0.023375186
189,2,25,9,203100,7011,610666,2.50092E+14,250092031007011!!,208.8439326,104.4219663,0.211770442
190,2,25,9,203100,7012,610666,2.50092E+14,250092031007012!!,52.65860581,26.3293029,0.091207504
191,2,25,9,203100,7013,610666,2.50092E+14,250092031007013!!,30.14355009,15.07177505,0.128973558
192,2,25,9,203100,7014,610666,2.50092E+14,250092031007014!!,304.6101844,152.3050922,0.726640367
193,2,25,9,203100,7015,610666,2.50092E+14,250092031007015!!,206.0874444,103.0437222,0.546399138
194,2,25,9,204200,2011,609437,2.50092E+14,250092042002011!!,259.8594958,129.9297479,0.594601149
195,2,25,9,204200,3000,609437,2.50092E+14,250092042003000!!,110.8197598,55.40987991,0.232761154
196,2,25,9,204200,3001,609437,2.50092E+14,250092042003001!!,302.9848134,151.4924067,0.422529928
197,2,25,9,204200,3002,609437,2.50092E+14,250092042003002!!,343.7269584,171.8634792,0.844654246
198,2,25,9,204200,3003,609437,2.50092E+14,250092042003003!!,247.2266523,123.6133262,0.991611973
199,2,25,9,204200,3004,609437,2.50092E+14,250092042003004!!,259.6201891,129.8100945,0.552119164
200,2,25,9,204200,3005,609437,2.50092E+14,250092042003005!!,51.64355927,25.82177963,0.379319249
201,2,25,9,204200,3006,609437,2.50092E+14,250092042003006!!,111.5339798,55.76698988,0.314768604
202,2,25,9,204200,3007,609437,2.50092E+14,250092042003007!!,316.6307938,158.3153969,0.991635984
203,2,25,9,204200,3008,609437,2.50092E+14,250092042003008!!,443.990794,221.995397,0.998761958
204,2,25,9,204200,3009,609437,2.50092E+14,250092042003009!!,157.3159,78.65795,0.429781627
205,2,25,9,204200,3011,609437,2.50092E+14,250092042003011!!,74.2741835,37.13709175,0.181631578
206,2,25,9,204200,3012,609437,2.50092E+14,250092042003012!!,258.3825969,129.1912984,0.765555791
207,2,25,9,204200,3013,609437,2.50092E+14,250092042003013!!,426.0918545,213.0459272,0.999727105
208,2,25,9,204200,3014,609437,2.50092E+14,250092042003014!!,585.9856,292.9928,0.994051151
209,2,25,9,204200,3015,609437,2.50092E+14,250092042003015!!,402.0223542,201.0111771,1
210,2,25,9,204200,3016,609437,2.50092E+14,250092042003016!!,604.5158781,302.257939,0.996916148
211,2,25,9,204200,3017,609437,2.50092E+14,250092042003017!!,179.9215799,89.96078996,0.869774618
212,2,25,9,204200,3018,609437,2.50092E+14,250092042003018!!,121.7760731,60.88803656,0.417388653
213,2,25,9,204200,3019,609437,2.50092E+14,250092042003019!!,7.648703479,3.82435174,0.019849492
214,2,25,9,204200,3020,609437,2.50092E+14,250092042003020!!,222.8701876,111.4350938,0.742142349
215,2,25,9,204200,5000,609437,2.50092E+14,250092042005000!!,476.9456025,238.4728013,1
216,2,25,9,204200,5001,609437,2.50092E+14,250092042005001!!,613.7017195,306.8508597,1
217,2,25,9,204200,5002,609437,2.50092E+14,250092042005002!!,319.7574145,159.8787073,1
218,2,25,9,204200,5003,609437,2.50092E+14,250092042005003!!,676.2080513,338.1040257,0.992997009
219,2,25,9,204200,5004,609437,2.50092E+14,250092042005004!!,788.8450724,394.4225362,0.997602673
220,2,25,9,204200,5005,609437,2.50092E+14,250092042005005!!,294.4502405,147.2251203,1
221,2,25,9,204200,5006,609437,2.50092E+14,250092042005006!!,696.7919669,348.3959835,1
222,2,25,9,204200,5007,609437,2.50092E+14,250092042005007!!,634.4093191,317.2046596,1
223,2,25,9,204200,5008,609437,2.50092E+14,250092042005008!!,667.542139,333.7710695,0.995625184
224,2,25,9,204200,5009,609437,2.50092E+14,250092042005009!!,812.0749604,406.0374802,0.999764999
225,2,25,9,204200,5010,609437,2.50092E+14,250092042005010!!,503.7432648,251.8716324,0.999979039
226,2,25,9,204200,5011,609437,2.50092E+14,250092042005011!!,1956.717908,978.3589541,0.996073532
227,2,25,9,204200,5012,609437,2.50092E+14,250092042005012!!,1001.602346,500.8011732,0.9966791
228,2,25,9,204200,5013,609437,2.50092E+14,250092042005013!!,560.7087328,280.3543664,1
229,2,25,9,204200,5014,609437,2.50092E+14,250092042005014!!,194.7316382,97.36581908,0.997724585
230,2,25,9,204500,3001,609437,2.50092E+14,250092045003001!!,46.44584771,23.22292386,0.067008251
231,2,25,9,204500,3002,609437,2.50092E+14,250092045003002!!,84.86916827,42.43458414,0.257299718
232,2,25,9,204500,3003,609437,2.50092E+14,250092045003003!!,576.9056953,288.4528477,0.402443207
233,2,25,9,204500,3004,609437,2.50092E+14,250092045003004!!,156.7011489,78.35057447,0.996913592
234,2,25,9,204500,3005,609437,2.50092E+14,250092045003005!!,1194.567194,597.2835971,1
235,2,25,9,204500,3006,609437,2.50092E+14,250092045003006!!,361.8313761,180.915688,0.796098169
236,2,25,9,204500,3008,609437,2.50092E+14,250092045003008!!,338.1060533,169.0530266,0.999925237
237,2,25,9,204500,3009,609437,2.50092E+14,250092045003009!!,568.9909813,284.4954907,0.999915444
238,2,25,9,204500,3010,609437,2.50092E+14,250092045003010!!,401.0944996,200.5472498,0.997937078
239,2,25,9,204500,3011,609437,2.50092E+14,250092045003011!!,691.4873652,345.7436826,0.998762442
240,2,25,9,204500,3012,609437,2.50092E+14,250092045003012!!,421.4488667,210.7244333,0.997538603
241,2,25,9,204500,3013,609437,2.50092E+14,250092045003013!!,48.78345973,24.39172987,0.486396375
242,2,25,9,204500,3014,609437,2.50092E+14,250092045003014!!,3.81905927,1.909529635,0.011976231
243,2,25,9,204600,2007,608933,2.50092E+14,250092046002007!!,69.73317855,34.86658927,0.005563622
244,2,25,9,204600,2007,609437,2.50092E+14,250092046002007!!,9809.444584,4904.722292,0.782640895
245,2,25,9,204600,2008,609437,2.50092E+14,250092046002008!!,51.30068709,25.65034355,0.057715586
246,2,25,9,204600,2009,609437,2.50092E+14,250092046002009!!,55.12389698,27.56194849,0.149806302
247,2,25,9,204600,2011,609437,2.50092E+14,250092046002011!!,534.4651781,267.2325891,0.630478839
248,2,25,9,204600,2012,609437,2.50092E+14,250092046002012!!,462.4218178,231.2109089,0.606897606
249,2,25,9,204600,2013,609437,2.50092E+14,250092046002013!!,788.0535268,394.0267634,1
250,2,25,9,204600,2014,609437,2.50092E+14,250092046002014!!,993.3960097,496.6980048,0.996579779
251,2,25,9,204600,2015,609437,2.50092E+14,250092046002015!!,407.936157,203.9680785,0.97018796
252,2,25,9,204600,2016,609437,2.50092E+14,250092046002016!!,176.1410802,88.07054011,1
253,2,25,9,204600,2017,609437,2.50092E+14,250092046002017!!,925.4710063,462.7355032,0.888940129
254,2,25,9,204600,2020,609437,2.50092E+14,250092046002020!!,66.3285988,33.1642994,0.185839932
255,2,25,9,204600,2021,608933,2.50092E+14,250092046002021!!,0.561781567,0.280890783,0.007171692
256,2,25,9,204600,2021,609437,2.50092E+14,250092046002021!!,78.17685992,39.08842996,0.998004151
257,2,25,9,204600,4003,609437,2.50092E+14,250092046004003!!,1838.577614,919.2888068,0.341068518
258,2,25,9,204600,4008,609437,2.50092E+14,250092046004008!!,750.723689,375.3618445,0.790013661
259,2,25,9,204701,3000,609437,2.50092E+14,250092047013000!!,1656.223054,828.1115268,0.997399605
260,2,25,9,204701,3001,609437,2.50092E+14,250092047013001!!,577.8196927,288.9098464,0.999698639
261,2,25,9,204701,3002,609437,2.50092E+14,250092047013002!!,2421.40863,1210.704315,0.609086099
262,2,25,9,204701,3003,609437,2.50092E+14,250092047013003!!,209.5025856,104.7512928,1
263,2,25,9,204701,3004,609437,2.50092E+14,250092047013004!!,713.2432128,356.6216064,0.999538156
264,2,25,9,204701,3006,609437,2.50092E+14,250092047013006!!,818.4653151,409.2326576,0.99972305
265,2,25,9,204701,3013,609437,2.50092E+14,250092047013013!!,524.229207,262.1146035,0.236379715
266,2,25,9,204701,3014,609437,2.50092E+14,250092047013014!!,172.6509666,86.3254833,0.488828283
267,2,25,9,204701,4000,609437,2.50092E+14,250092047014000!!,411.4256014,205.7128007,0.18616859
268,2,25,9,204702,1000,609437,2.50092E+14,250092047021000!!,723.7275045,361.8637522,0.994586707
269,2,25,9,204702,1001,609437,2.50092E+14,250092047021001!!,1506.440742,753.2203708,0.852753869
270,2,25,9,204702,1002,609437,2.50092E+14,250092047021002!!,296.7271754,148.3635877,0.994566756
271,2,25,9,204702,1003,609437,2.50092E+14,250092047021003!!,431.5191306,215.7595653,0.99161154
272,2,25,9,204702,1004,609437,2.50092E+14,250092047021004!!,111.6112383,55.80561917,1
273,2,25,9,204702,1005,609437,2.50092E+14,250092047021005!!,417.3042129,208.6521064,0.984778017
274,2,25,9,204702,1006,609437,2.50092E+14,250092047021006!!,212.9268179,106.4634089,1
275,2,25,9,204702,1007,609437,2.50092E+14,250092047021007!!,632.377265,316.1886325,1
276,2,25,9,204702,1008,609437,2.50092E+14,250092047021008!!,979.2484922,489.6242461,0.998909544
