OID_,FREQUENCY,tip_id,geoid,county,state,tract,blkgrp,Shape_Length,Length_Freq,area_fraction,OBJECTID,geoid_1,shape_Length_1
30,2,605743,250092231002,9,25,223100,2,2841.994914478450482,1420.997457239225014,0.028131862693345,1060,250092231002,50512.028752912454365
31,2,605743,250092232001,9,25,223200,1,17217.135220147793007,8608.567610073900141,0.997741133762099,1061,250092232001,8628.057237265838921
32,2,605743,250092232002,9,25,223200,2,12877.020813562963667,6438.510406781500023,0.727950215077423,1062,250092232002,8844.712555097903532
33,2,605743,250092232003,9,25,223200,3,9247.522535712985700,4623.761267856494669,0.415987772023922,1063,250092232003,11115.137460315958378
34,2,605743,250092233002,9,25,223300,2,1719.164717734409123,859.582358867205016,0.020870308857726,1065,250092233002,41186.853760863814387
35,2,605857,250214123003,21,25,412300,3,5236.311144121340476,2618.155572060669783,0.183005545608510,3105,250214123003,14306.427509369019390
36,2,605857,250214123004,21,25,412300,4,1471.829975246634604,735.914987623315028,0.042503843400994,3106,250214123004,17314.081003933708416
37,2,605857,250214131001,21,25,413100,1,5841.699826390742601,2920.849913195369936,0.113200607972600,3107,250214131001,25802.422491426419583
38,2,605857,250214132001,21,25,413200,1,10804.482626272136258,5402.241313136049939,0.521449751605564,3112,250214132001,10360.041972409297159
39,2,605857,250214132002,21,25,413200,2,573.684153199037951,286.842076599518975,0.017888456609366,3113,250214132002,16035.037726470858615
40,2,605857,250214132004,21,25,413200,4,710.921289057004742,355.460644528502485,0.020801883909583,3115,250214132004,17087.906368170304631
41,2,606130,250214132001,21,25,413200,1,7624.633497826469466,3812.316748913235188,0.367982751331138,3112,250214132001,10360.041972409297159
42,2,606130,250214132002,21,25,413200,2,15810.582836604948170,7905.291418302450438,0.493001111263509,3113,250214132002,16035.037726470858615
43,2,606130,250214132003,21,25,413200,3,4439.190092583263322,2219.595046291629842,0.297120537708097,3114,250214132003,7470.352145337888942
44,2,606130,250214132004,21,25,413200,4,6394.278372836957715,3197.139186418480222,0.187099526269280,3115,250214132004,17087.906368170304631
45,2,606226,250173501031,17,25,350103,1,5396.934294472015608,2698.467147236010078,0.189546290135844,2352,250173501031,14236.454563695593606
46,2,606226,250173501043,17,25,350104,3,930.670824045744439,465.335412022871992,0.049481024826970,2356,250173501043,9404.320416767775896
47,2,606226,250173514031,17,25,351403,1,4147.731276866163171,2073.865638433080221,0.852512363233483,2410,250173514031,2432.651686794481520
48,2,606226,250173514032,17,25,351403,2,1.130504061739938,0.565252030869970,0.000279244413746,2411,250173514032,2024.219655061777303
49,2,606226,250173514033,17,25,351403,3,682.086615440694686,341.043307720347514,0.291962335951847,2412,250173514033,1168.107203309248462
50,2,606226,250173514035,17,25,351403,5,718.563132470839605,359.281566235419973,0.642487191342405,2414,250173514035,559.204247301400301
51,2,606226,250173514041,17,25,351404,1,1199.094807347324149,599.547403673660028,0.253973529598837,2415,250173514041,2360.668864273656254
52,2,606226,250173515001,17,25,351500,1,241.627389783845047,120.813694891922495,0.008820037585854,2419,250173515001,13697.639461955353909
53,2,606226,250173521011,17,25,352101,1,1951.915581818432429,975.957790909214964,0.356123355973703,2421,250173521011,2740.504868715442626
54,2,606226,250173521012,17,25,352101,2,11382.185961512823269,5691.092980756399811,0.593202799967048,2422,250173521012,9593.840388266091395
55,2,606226,250173521021,17,25,352102,1,852.355329560634914,426.177664780317514,0.053442507979247,2423,250173521021,7974.507202128559584
56,2,606226,250250203032,25,25,20303,2,4958.486499404260940,2479.243249702130015,0.157466494724809,3888,250250203032,15744.576355972680176
57,2,606226,250250301001,25,25,30100,1,33.125310013552905,16.562655006776449,0.016067276454256,3890,250250301001,1030.831519824188717
58,2,606226,250250301002,25,25,30100,2,1040.864996937158367,520.432498468579979,0.459763295123459,3891,250250301002,1131.957474614909188
59,2,606226,250250302001,25,25,30200,1,542.170417878340800,271.085208939170514,0.069782795954512,3892,250250302001,3884.699734815395914
60,2,606226,250250305001,25,25,30500,1,823.697262570404632,411.848631285202487,0.084714140224397,3899,250250305001,4861.627943036038232
61,2,606226,250250401001,25,25,40100,1,7091.100210178259658,3545.550105089129829,0.803900247430340,3902,250250401001,4410.435394717751478
62,2,606226,250250401002,25,25,40100,2,7632.636601562966462,3816.318300781485050,0.849400171625618,3903,250250401002,4492.956827966801029
63,2,606226,250250402002,25,25,40200,2,2952.442643614505869,1476.221321807254981,0.440484560925305,3905,250250402002,3351.357692778660294
64,2,606226,250250403001,25,25,40300,1,802.019193036913407,401.009596518456476,0.355516139821865,3906,250250403001,1127.964532691495151
65,2,606226,250250403002,25,25,40300,2,4769.586323740464650,2384.793161870230051,0.973536303206712,3907,250250403002,2449.619140051592694
66,2,606226,250250403003,25,25,40300,3,2071.179923631054862,1035.589961815524930,0.811265751240576,3908,250250403003,1276.511377722912130
67,2,606226,250250403004,25,25,40300,4,1940.559121073858023,970.279560536930035,0.582707715869625,3909,250250403004,1665.122211551459941
68,2,606226,250250403005,25,25,40300,5,3062.319476063080401,1531.159738031539973,0.999907543885523,3910,250250403005,1531.301316201332838
69,2,606226,250250404011,25,25,40401,1,6691.557118894776067,3345.778559447389853,0.999721037802498,3911,250250404011,3346.712165627516697
70,2,606226,250250404012,25,25,40401,2,18879.731054137129831,9439.865527068550364,0.655634422283823,3912,250250404012,14398.062710292015254
71,2,606226,250250406001,25,25,40600,1,46417.309641197498422,23208.654820598749211,0.792623571551729,3913,250250406001,29280.803213009192405
72,2,606226,250250406002,25,25,40600,2,7365.046363562946681,3682.523181781475159,0.999644882822517,3914,250250406002,3683.831373581193020
73,2,606226,250250408013,25,25,40801,3,2031.700205756732885,1015.850102878364964,0.120335301626578,3917,250250408013,8441.829530878010701
74,2,606453,250214001001,21,25,400100,1,1883.645498455895449,941.822749227949998,0.207115808855596,2942,250214001001,4547.324293746220974
75,2,606453,250214001002,21,25,400100,2,2944.126296475957133,1472.063148237979931,0.696358409391040,2943,250214001002,2113.944670425229560
76,2,606453,250214001004,21,25,400100,4,145.737556841813841,72.868778420907006,0.011209975267285,2945,250214001004,6500.351399843778381
77,2,606453,250250101031,25,25,10103,1,1090.572790190008845,545.286395095004991,0.194163835132887,3835,250250101031,2808.382903653542144
78,2,606453,250250101032,25,25,10103,2,410.532988135795165,205.266494067897497,0.418645389975250,3836,250250101032,490.311129617436052
79,2,606453,250250101041,25,25,10104,1,5034.847165805095756,2517.423582902550152,0.602262624080751,3838,250250101041,4179.943237794243032
80,2,606453,250250101042,25,25,10104,2,4065.052619881696046,2032.526309940850069,0.544111617034737,3839,250250101042,3735.495156338646211
81,2,606453,250250101043,25,25,10104,3,5367.713469740169785,2683.856734870084892,0.610583687896104,3840,250250101043,4395.559180622525673
82,2,606453,250250102031,25,25,10203,1,2948.661411246634998,1474.330705623314998,0.985043136349134,3841,250250102031,1496.716896163171214
83,2,606453,250250102032,25,25,10203,2,3570.309841968768069,1785.154920984384944,0.998120525422107,3842,250250102032,1788.516392075428485
84,2,606453,250250102033,25,25,10203,3,2760.609456946975570,1380.304728473490059,1.000000000000000,3843,250250102033,1380.296589273556947
85,2,606453,250250102034,25,25,10203,4,3140.931473635630027,1570.465736817815014,0.999987701179011,3844,250250102034,1570.485051932343595
86,2,606453,250250102041,25,25,10204,1,1800.939122708531158,900.469561354265011,0.999691906561145,3845,250250102041,900.747075618331223
87,2,606453,250250102042,25,25,10204,2,3479.553944225660416,1739.776972112829981,1.000000000000000,3846,250250102042,1739.706359446337274
88,2,606453,250250102043,25,25,10204,3,5732.103919346342082,2866.051959673170131,0.996055968742062,3847,250250102043,2877.400517254834540
89,2,606453,250250103001,25,25,10300,1,2988.140477649451896,1494.070238824725038,0.506065926533898,3848,250250103001,2952.323324863591552
90,2,606453,250250103002,25,25,10300,2,8689.199914063630786,4344.599957031815393,0.850590533026321,3849,250250103002,5107.745487801449599
91,2,606453,250250104031,25,25,10403,1,1602.460728794408169,801.230364397204994,1.000000000000000,3850,250250104031,799.016506461408540
92,2,606453,250250104032,25,25,10403,2,1830.195871565172638,915.097935782584955,0.965924548791133,3851,250250104032,947.380348628514525
93,2,606453,250250104033,25,25,10403,3,835.595017781248771,417.797508890624499,0.927864972009186,3852,250250104033,450.278350292640823
94,2,606453,250250104041,25,25,10404,1,3804.675360981588710,1902.337680490795037,0.755657800931595,3853,250250104041,2517.459196670170058
95,2,606453,250250104042,25,25,10404,2,155.251601890474575,77.625800945237501,0.110203876186085,3854,250250104042,704.383580974616052
96,2,606453,250250104043,25,25,10404,3,401.176700117446671,200.588350058723506,0.521860338359477,3855,250250104043,384.371708893023595
97,2,606453,250250104051,25,25,10405,1,86.533056989954659,43.266528494977351,0.006904739254333,3856,250250104051,6266.207441190151258
98,2,606453,250250104052,25,25,10405,2,5251.173015292661148,2625.586507646330119,0.959546415287548,3857,250250104052,2736.278793620955639
99,2,606453,250250104081,25,25,10408,1,2739.180258943437366,1369.590129471720047,1.000000000000000,3859,250250104081,1369.575043769960985
100,2,606453,250250105001,25,25,10500,1,3908.334074532041086,1954.167037266020088,0.611676973815339,3860,250250105001,3194.769659346321532
101,2,606453,250250106001,25,25,10600,1,506.557924805148104,253.278962402573995,0.045688491444057,3863,250250106001,5543.605279957647326
102,2,606453,250250107011,25,25,10701,1,495.898883393065432,247.949441696532489,0.137825395967584,3865,250250107011,1799.011277680992407
103,2,606453,250250107013,25,25,10701,3,4690.459626479981125,2345.229813239990108,0.870677155974704,3867,250250107013,2693.569938233369157
104,2,606453,250250108021,25,25,10802,1,609.802235128739085,304.901117564369486,0.202261587933491,3874,250250108021,1507.459328681968600
105,2,606453,250250108022,25,25,10802,2,2902.686473278894482,1451.343236639444967,0.712658898892637,3875,250250108022,2036.518787451616845
106,2,606453,250250810011,25,25,81001,1,1493.930144905135194,746.965072452569984,0.150723403920372,4031,250250810011,4955.866527849892918
107,2,606453,250259815011,25,25,981501,1,2694.249133803805307,1347.124566901904927,0.033517796171275,4415,250259815011,40191.322842890440370
108,2,606453,250259818001,25,25,981800,1,20477.837537393323146,10238.918768696650659,0.449599728940761,4419,250259818001,22773.409567704100482
109,2,606476,250250203021,25,25,20302,1,7.804398776406243,3.902199388203120,0.002114916959388,3886,250250203021,1845.083974045242485
110,2,606476,250250203032,25,25,20303,2,9001.931755152503683,4500.965877576250023,0.285874054392630,3888,250250203032,15744.576355972680176
111,2,606476,250250301001,25,25,30100,1,2061.666201868516964,1030.833100934260074,1.000001533820066,3890,250250301001,1030.831519824188717
112,2,606476,250250301002,25,25,30100,2,2263.891261660879536,1131.945630830439995,0.999989536899808,3891,250250301002,1131.957474614909188
113,2,606476,250250302001,25,25,30200,1,5654.059244665751976,2827.029622332875078,0.727734397847153,3892,250250302001,3884.699734815395914
114,2,606476,250250303001,25,25,30300,1,6746.334923525514569,3373.167461762755011,0.415300895926752,3893,250250303001,8122.225342749313313
115,2,606476,250250303002,25,25,30300,2,7870.160685527527676,3935.080342763765202,0.658949750560734,3894,250250303002,5971.745705063564856
116,2,606476,250250303003,25,25,30300,3,10264.057374411549972,5132.028687205750430,0.665372831925938,3895,250250303003,7713.012075276611540
117,2,606476,250250303004,25,25,30300,4,1799.052096927463936,899.526048463730035,0.837867704116142,3896,250250303004,1073.589594210018276
118,2,606476,250250304001,25,25,30400,1,3866.232505316156221,1933.116252658079929,0.885663542976957,3897,250250304001,2182.675653736800996
119,2,606476,250250304002,25,25,30400,2,1997.231313858269459,998.615656929134957,0.673009147430686,3898,250250304002,1483.806959744155847
120,2,606476,250250305001,25,25,30500,1,7306.867844782036627,3653.433922391020133,0.751483652224832,3899,250250305001,4861.627943036038232
121,2,606476,250250305002,25,25,30500,2,2000.638290674508880,1000.319145337255009,0.848302394746194,3900,250250305002,1179.201133384217655
122,2,606476,250250305003,25,25,30500,3,1445.443158061902750,722.721579030950011,0.999997626186652,3901,250250305003,722.723294641154098
123,2,606476,250250501012,25,25,50101,2,358.394581930706636,179.197290965353488,0.068179613512468,3919,250250501012,2628.311921019969304
124,2,606476,250250501013,25,25,50101,3,1152.573130922654627,576.286565461325040,0.327085016220901,3920,250250501013,1761.886166843310093
125,2,606476,250250502001,25,25,50200,1,3718.866415416099699,1859.433207708050077,0.894055040135915,3921,250250502001,2079.774873172662410
126,2,606476,250250502002,25,25,50200,2,3977.210919674988872,1988.605459837494891,0.980993944752759,3922,250250502002,2027.133266697868521
127,2,606476,250250502003,25,25,50200,3,653.934304305313276,326.967152152656524,0.616667993366081,3923,250250502003,530.215862782024601
128,2,606476,250250502004,25,25,50200,4,941.557533895815709,470.778766947908025,0.475837960519622,3924,250250502004,989.367822680247514
129,2,606476,250250503001,25,25,50300,1,7727.823308591524437,3863.911654295759945,0.790395230421214,3925,250250503001,4888.581693789597011
130,2,606476,250250503002,25,25,50300,2,5594.029205756426563,2797.014602878215101,0.814389830949851,3926,250250503002,3434.491071205991375
131,2,606476,250250504001,25,25,50400,1,3082.998158908428650,1541.499079454215007,1.000000000000000,3927,250250504001,1539.181603133654789
132,2,606476,250250504002,25,25,50400,2,3442.718557421539117,1721.359278710770013,0.986547553271873,3928,250250504002,1744.831531943796335
133,2,606476,250250505001,25,25,50500,1,4332.153030051873429,2166.076515025934896,0.842197301088046,3929,250250505001,2571.934761875327695
134,2,606476,250250506001,25,25,50600,1,4523.328939287501271,2261.664469643750181,0.801853981083104,3930,250250506001,2820.544042930121577
135,2,606476,250250506002,25,25,50600,2,5741.696858409143715,2870.848429204570039,0.999975556922568,3931,250250506002,2870.918603290288502
136,2,606476,250250507001,25,25,50700,1,4253.039265252842597,2126.519632626419934,0.999989885845452,3932,250250507001,2126.541140792165152
137,2,606476,250250507002,25,25,50700,2,3087.088054961022863,1543.544027480510067,0.975596632267956,3933,250250507002,1582.153911183815353
138,2,606476,250250507003,25,25,50700,3,3034.867777807377934,1517.433888903690104,0.530608791425655,3934,250250507003,2859.797865064776033
139,2,606476,250250509012,25,25,50901,2,101.627555978800473,50.813777989400002,0.026778452986894,3936,250250509012,1897.562118852427830
140,2,606476,250250512001,25,25,51200,1,1569.038579839085742,784.519289919545031,0.149346490848230,3945,250250512001,5253.014553363671439
141,2,606476,250250512002,25,25,51200,2,547.994065821968775,273.997032910984501,0.139497030559294,3946,250250512002,1964.178246751429015
142,2,606476,250250512003,25,25,51200,3,499.217530354754217,249.608765177376995,0.126891563278474,3947,250250512003,1967.102924168330674
143,2,606476,250250701018,25,25,70101,8,704.368385394112124,352.184192697056005,0.030450652258651,3989,250250701018,11565.735594284196850
144,2,606476,250259813002,25,25,981300,2,2665.544998873379882,1332.772499436689941,0.020760425763875,4414,250259813002,64197.744044142586063
145,2,607244,250251801011,25,25,180101,1,10109.521526205593545,5054.760763102800411,1.000000000000000,4386,250251801011,5053.608685112331841
146,2,607244,250251801012,25,25,180101,2,7263.287190933692727,3631.643595466844999,0.996745105955788,4387,250251801012,3643.502811066653067
147,2,607244,250251801013,25,25,180101,3,17006.531740324360726,8503.265870162200372,0.897419272232856,4388,250251801013,9475.243214919322781
148,2,607244,250251802001,25,25,180200,1,9690.209091565797280,4845.104545782899550,0.882707739817926,4389,250251802001,5488.911365818869854
149,2,607244,250251802002,25,25,180200,2,8002.543506495503607,4001.271753247749984,1.000000000000000,4390,250251802002,3993.319901654877867
150,2,607244,250251802003,25,25,180200,3,5549.194310941239564,2774.597155470619782,0.599192722377622,4391,250251802003,4630.558836664273258
151,2,607244,250251802004,25,25,180200,4,5309.915858284599381,2654.957929142300145,0.598204895960788,4392,250251802004,4438.208291288085093
152,2,607244,250251803011,25,25,180301,1,79.232382053246312,39.616191026623149,0.014433706705928,4393,250251803011,2744.699738865588188
153,2,607244,250251804001,25,25,180400,1,3385.699899314115100,1692.849949657060051,0.274424786577544,4397,250251804001,6168.721021046381793
154,2,607244,250251804002,25,25,180400,2,845.605630228454061,422.802815114226973,0.124016309330575,4398,250251804002,3409.251713717872008
155,2,607244,250251805001,25,25,180500,1,2006.543312592621987,1003.271656296309970,0.326797117093491,4399,250251805001,3070.013790878372674
156,2,607738,250173591002,17,25,359100,2,5074.307621166007266,2537.153810583004997,0.151023745132575,2603,250173591002,16799.701320847052557
157,2,607738,250173591003,17,25,359100,3,961.772415311934651,480.886207655967496,0.031546126641441,2604,250173591003,15243.906585483913659
158,2,607738,250173593001,17,25,359300,1,10503.571519531247759,5251.785759765600233,0.479035273492583,2606,250173593001,10963.254796406776222
159,2,607738,250173593002,17,25,359300,2,1942.795001757885984,971.397500878945038,0.127857365554575,2607,250173593002,7597.509120147745307
160,2,607738,250173593003,17,25,359300,3,15429.626444966421332,7714.813222483199752,0.425790112424034,2608,250173593003,18118.817223261874460
161,2,607738,250173593004,17,25,359300,4,2340.056260223214849,1170.028130111604924,0.030406552600693,2609,250173593004,38479.473338419498759
162,2,607738,250173593005,17,25,359300,5,12432.542957527570252,6216.271478763799678,0.290808131322180,2610,250173593005,21375.851667218066723
163,2,607738,250173613001,17,25,361300,1,1430.425318354828278,715.212659177415048,0.036455488934783,2624,250173613001,19618.792123647031985
164,2,607738,250173613003,17,25,361300,3,437.896563449940516,218.948281724970514,0.006851847096605,2626,250173613003,31954.636266395231360
165,2,607738,250173613005,17,25,361300,5,868.303379293583475,434.151689646791510,0.013101295830388,2628,250173613005,33138.072391265966871
166,2,607777,250173542001,17,25,354200,1,3124.948550085701754,1562.474275042849968,0.251772969133806,2484,250173542001,6205.885724819270763
167,2,607777,250173542002,17,25,354200,2,2469.666368831573891,1234.833184415784899,0.058385818258765,2485,250173542002,21149.539755407880875
168,2,607777,250173543001,17,25,354300,1,4239.445479579906532,2119.722739789955085,0.719589655407405,2487,250173543001,2945.738204907696854
169,2,607777,250173543002,17,25,354300,2,2801.421466161594708,1400.710733080795080,0.355609892740606,2488,250173543002,3938.896981424893511
170,2,607777,250173543003,17,25,354300,3,8706.392933350201929,4353.196466675100055,0.364569383560286,2489,250173543003,11940.652898943255423
171,2,607777,250173573001,17,25,357300,1,34.156362318599932,17.078181159299952,0.003002325744858,2561,250173573001,5688.317194944192124
172,2,607777,250173573002,17,25,357300,2,5384.418564854205215,2692.209282427104881,0.514904379713886,2562,250173573002,5228.561629099096535
173,2,607777,250173573003,17,25,357300,3,2002.015372719277593,1001.007686359640047,0.312237515152452,2563,250173573003,3205.917411528498633
174,2,607777,250173574001,17,25,357400,1,772.611622725986649,386.305811362993495,0.092184310959761,2564,250173574001,4190.580884545706795
175,2,607777,250173701022,17,25,370102,2,3858.758668421434777,1929.379334210714887,0.451069235209177,2738,250173701022,4277.346322047408648
176,2,607777,250173701023,17,25,370102,3,9006.483512891491046,4503.241756445744613,0.999969838843454,2739,250173701023,4503.377583522023997
177,2,607777,250173701024,17,25,370102,4,7860.303423910356287,3930.151711955179962,0.363779731595404,2740,250173701024,10803.657737386829467
178,2,607777,250173702011,17,25,370201,1,6068.732963631173334,3034.366481815584848,0.648264741459867,2742,250173702011,4680.751994906133405
179,2,607777,250173702012,17,25,370201,2,8487.390650104731321,4243.695325052364751,0.995166960635173,2743,250173702012,4264.304878393257241
180,2,607777,250173702013,17,25,370201,3,13665.108874715770071,6832.554437357899587,0.995930995481898,2744,250173702013,6860.469719643426288
181,2,607777,250173702021,17,25,370202,1,7457.199117615837167,3728.599558807919948,0.880593537797135,2745,250173702021,4234.189099474047907
182,2,607777,250173702023,17,25,370202,3,1603.308886021905437,801.654443010954992,0.172089071972619,2747,250173702023,4658.369260881986520
183,2,607777,250173702024,17,25,370202,4,73.712431732072318,36.856215866036152,0.006486139438654,2748,250173702024,5682.303967501943589
184,2,607777,250173703001,17,25,370300,1,10786.955206363896650,5393.477603181950144,0.326616076918509,2749,250173703001,16513.203067244139675
185,2,607777,250173703002,17,25,370300,2,6300.414374885898724,3150.207187442949817,0.177890519049649,2750,250173703002,17708.685118647215859
186,2,607777,250173703003,17,25,370300,3,7163.115229798228029,3581.557614899114924,0.861391866654668,2751,250173703003,4157.872570597369304
187,2,607777,250173703004,17,25,370300,4,6331.815982545556835,3165.907991272779782,0.999801147012239,2752,250173703004,3166.537666748668016
188,2,607777,250173703005,17,25,370300,5,5980.461394015386759,2990.230697007695198,0.999727276146497,2753,250173703005,2991.046426715201960
189,2,607777,250173703006,17,25,370300,6,4792.394372893085347,2396.197186446544947,1.000000000000000,2754,250173703006,2395.885230726945338
190,2,607777,250173703007,17,25,370300,7,4743.821740843259249,2371.910870421630079,0.998397305996243,2755,250173703007,2375.718420088121547
191,2,607777,250173704001,17,25,370400,1,5601.574937105895515,2800.787468552950031,0.998308263091767,2756,250173704001,2805.533693449447583
192,2,607777,250173704002,17,25,370400,2,13975.983976910203637,6987.991988455100000,0.916569500122138,2757,250173704002,7624.072138036351134
193,2,607777,250173704003,17,25,370400,3,5928.115579040166267,2964.057789520084953,0.855069793325849,2758,250173704003,3466.451291643913464
194,2,607777,250173704004,17,25,370400,4,1765.393002974672527,882.696501487335013,0.123351596628499,2759,250173704004,7155.939003738842075
195,2,607777,250173704005,17,25,370400,5,5274.858338923302654,2637.429169461649963,0.966328914563374,2760,250173704005,2729.328626840631387
196,2,607777,250173704006,17,25,370400,6,3566.443186690760285,1783.221593345379915,0.390286761024053,2761,250173704006,4569.003541566405147
197,2,607899,250214021011,21,25,402101,1,181.758842232621930,90.879421116310994,0.007036351846889,2980,250214021011,12915.701643955097097
198,2,607899,250214021021,21,25,402102,1,10508.536031021598319,5254.268015510800069,0.873985913633086,2984,250214021021,6011.845195157946364
199,2,607899,250214021022,21,25,402102,2,9943.613125908465008,4971.806562954235233,0.525190762553803,2985,250214021022,9466.667956569206581
200,2,607899,250214021023,21,25,402102,3,8630.798837594804354,4315.399418797400358,0.674544915612364,2986,250214021023,6397.497511162476258
201,2,607899,250214021024,21,25,402102,4,9942.596624943431380,4971.298312471714780,0.817927667576174,2987,250214021024,6077.919245846675040
202,2,607899,250214022001,21,25,402200,1,901.514959266383812,450.757479633192020,0.075850919827898,2988,250214022001,5942.676511450859834
203,2,607899,250214024001,21,25,402400,1,1439.652228302621097,719.826114151309980,0.046634660577189,2993,250214024001,15435.431613356744492
204,2,607899,250214024002,21,25,402400,2,629.973285252703022,314.986642626351511,0.042776590956981,2994,250214024002,7363.528406064931005
205,2,607899,250214024003,21,25,402400,3,1223.884050125954673,611.942025062974949,0.084778312413742,2995,250214024003,7218.143504396814023
206,2,607899,250251304041,25,25,130404,1,1223.904359416254692,611.952179708124959,0.065094642741591,4282,250251304041,9400.960723256646816
207,2,607899,250251304042,25,25,130404,2,2939.843758807526683,1469.921879403764933,0.270009856307892,4283,250251304042,5443.956378124241382
208,2,607899,250251304043,25,25,130404,3,2262.865399422256814,1131.432699711129999,0.596434782134854,4284,250251304043,1896.993156001609577
209,2,607899,250251304062,25,25,130406,2,6997.416748432930945,3498.708374216465018,0.346087264464331,4286,250251304062,10109.324246969086744
210,2,607899,250251304063,25,25,130406,3,5484.397123937314063,2742.198561968655213,1.000000000000000,4287,250251304063,2740.001134387726779
211,2,607981,250173501043,17,25,350104,3,538.771260555727622,269.385630277863982,0.028644880048701,2356,250173501043,9404.320416767775896
212,2,607981,250173502002,17,25,350200,2,3780.534335368040956,1890.267167684020023,0.998859437905087,2359,250173502002,1892.425596586931761
213,2,607981,250173502003,17,25,350200,3,2633.683388229887896,1316.841694114945085,0.626998078766654,2360,250173502003,2100.232422889182089
214,2,607981,250173502004,17,25,350200,4,963.062030100852553,481.531015050426504,0.145824840111631,2361,250173502004,3302.119273244583383
215,2,607981,250173502005,17,25,350200,5,1739.640548654978375,869.820274327489983,0.410294582758463,2362,250173502005,2119.989663230685437
216,2,607981,250173511001,17,25,351100,1,876.051676745045484,438.025838372522514,0.142654339102652,2395,250173511001,3070.539887730493774
217,2,607981,250173512032,17,25,351203,2,1892.694931897738570,946.347465948869967,0.341493898264404,2401,250173512032,2771.198755698275363
218,2,607981,250173512033,17,25,351203,3,295.965737720922505,147.982868860461508,0.078306152741768,2402,250173512033,1889.798740955501444
