Project ID,Proponent(s),Project Name,MPO Score,Investment Category,"MAPC 
Subregion",Initial TIP Year & TIP,"FFYs 2025–29
Programmed Year(s)","FFYs 2026–30
Programmed
Year(s)","Design Status / 
Date Last Update",Design Status (Shorthand),Last Update Date,Years Since Last PINFO Milestone,FFY 2025,FFY 2025 (New),FFY 2026,FFY 2026 (New),FFY 2027,FFY 2027 (New),FFY 2028,FFY 2028 (New),FFY 2029,"FFY 2029 
(New)","FFY 2030
(New)",Other Non-Target Funds,"FFYs 2026–30
Target Program Spending","Adjusted TFPC
 (FFYs 2025-29)","Adjusted TFPC
 (FFYs 2026-30)"
613088,Malden,MALDEN- SPOT POND BROOK GREENWAY,73,CS,ICC,"2027
(FFYs 2024–28)",2028,2029,PRC Approved (12/20/2022),PRC,12/20/2022,2.25,$0,$0,$0,$0,$0,$0,"$4,858,127",$0,$0,"$4,858,127",$0,$0,"$4,858,127 ","$4,858,127 ","$4,858,127 "
610666,Swampscott,SWAMPSCOTT- RAIL TRAIL CONSTRUCTION,66.4,CS,NSTF,"2027
(FFYs 2023–27)",2028,2029,PRC Approved (12/19/2019),PRC,12/19/2019,5.25,$0,$0,$0,$0,$0,$0,"$8,624,000",$0,$0,"$8,624,000",$0,$0,"$8,624,000 ","$8,932,000 ","$8,624,000 "
609246,Lynn,LYNN- REHABILITATION OF WESTERN AVENUE (ROUTE 107),74.9,CS,ICC,"2027
(FFYs 2023–27)",2028-31,2030-32,PRC Approved (12/6/2018),PRC,12/6/2018,6.29,$0,$0,$0,$0,$0,$0,"$15,000,000",$0,"$20,000,000",$0,"$15,000,000",$0,"$15,000,000 ","$40,980,000 ","$47,536,800 "
606226,Boston,"BOSTON- RECONSTRUCTION OF RUTHERFORD AVENUE, FROM CITY SQUARE TO SULLIVAN SQUARE",59,MI,ICC,"2020
(FFYs 2016–20)",2028-32,2029-33,25% Received - Resubmission 1 (10/5/2020),25%,10/5/2020,4.46,$0,$0,$0,$0,$0,$0,"$33,500,000",$0,"$45,000,000","$33,500,000","$33,500,000",$0,"$67,000,000 ","$197,759,449 ","$197,759,449 "
613319,Sudbury,"SUDBURY-FRAMINGHAM- BIKE PATH CONSTRUCTION OF BRUCE FREEMAN RAIL TRAIL, FROM THE SUDBURY DIAMOND RAILROAD CROSSING TO EATON ROAD WEST",47,BP,MAGIC,"2029
(FFYs 2025–29)",2029,2029-30,25% Received (7/9/2024),25%,7/9/2024,0.70,$0,$0,$0,$0,$0,$0,$0,$0,"$4,263,000","$8,628,506",$0,$0,"$8,628,506 ","$8,526,000 ","$8,628,506 "
610662,Woburn,"WOBURN- ROADWAY AND INTERSECTION IMPROVEMENTS AT WOBURN COMMON, ROUTE 38 (MAIN STREET), WINN STREET, PLEASANT STREET, AND MONTVALE AVENUE",75,CS,NSPC,"2025
(FFYs 2021–25)",2029,2029,PRC Approved (12/19/2019),PRC,12/19/2019,5.25,$0,$0,$0,$0,$0,$0,$0,$0,"$9,335,200","$9,335,200","$8,691,200",$0,"$18,026,400 ","$17,382,600 ","$18,670,200 "
612963,Bellingham,"BELLINGHAM- ROADWAY REHABILITATION OF ROUTE 126 (HARTFORD ROAD), FROM 800 FEET NORTH OF THE I-495 NB OFF RAMP TO MEDWAY TOWN LINE, INCLUDING B-06-017",54.3,CS,SWAP,"2029
(FFYs 2025–29)",2029,2029-30,PRC Approved (6/24/2024),PRC,6/24/2024,0.74,$0,$0,$0,$0,$0,$0,$0,$0,"$8,340,000","$8,340,000","$7,508,000",$0,"$15,848,000 ","$16,680,000 ","$15,848,000 "
612738,Ipswich,IPSWICH- ARGILLA ROAD ROADWAY RECONSTRUCTION,37.9,CS,NSTF,"2029
(FFYs 2025–29)",2029,2029-30,PRC Approved (5/12/2022),PRC,5/12/2022,2.86,$0,$0,$0,$0,$0,$0,$0,$0,"$3,000,000","$5,183,829",$0,$0,"$5,183,829 ","$5,183,829 ","$5,183,829 "
S13145,CTPS,PROJECT DESIGN SET-ASIDE,N/A,N/A,REGIONWIDE,N/A,N/A,2027-30,Administrative,N/A,N/A,N/A,$0,$0,$0,$0,$0,"$2,000,000",$0,"$3,000,000",$0,"$3,000,000","$3,000,000",$0,"$11,000,000 ",$0 ,"$11,000,000 "
S12820,CTPS,BIKESHARE STATE OF GOOD REPAIR SET-ASIDE,N/A,CC,REGIONWIDE,N/A,2026-29,2027-30,Administrative,N/A,N/A,N/A,$0,$0,"$1,000,000",$0,"$2,000,000","$2,000,000","$2,000,000","$2,000,000","$2,000,000","$2,000,000","$2,000,000",$0,"$8,000,000 ","$6,000,000 ","$7,000,000 "
S12124,CTPS,COMMUNITY CONNECTIONS PROGRAM,N/A,CC,REGIONWIDE,N/A,2026-29,2027-30,Administrative,N/A,N/A,N/A,$0,$0,"$1,887,222",$0,"$2,036,193","$2,036,193","$2,000,000","$2,000,000","$2,500,000","$2,500,000","$2,500,000",$0,"$9,036,193 ","$8,334,827 ","$8,423,415 "
S12113,CTPS,TRANSIT TRANSFORMATION PROGRAM,N/A,TT,REGIONWIDE,N/A,2026-29,2028-30,Administrative,N/A,N/A,N/A,$0,$0,"$5,000,000",$0,"$5,500,000",$0,"$6,000,000","$6,000,000","$6,500,000","$6,500,000","$7,000,000",$0,"$19,500,000 ","$21,500,000 ","$23,000,000 "
612534,Melrose,MELROSE- LEBANON STREET IMPROVEMENT PROJECT (LYNDE STREET TO MALDEN CITY LINE),56.4,CS,ICC,"2030
(FFYs 2026–30)",N/A,2030,"25% Submitted
(1/10/2025)",25%,1/10/2025,0.19,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$10,528,000",$0,"$10,528,000 ",$0 ,"$4,341,220 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Federal Fiscal Year,,,,,,2025,2025 (New),2026,2026 (New),2027,2027 (New),2028,2028 (New),2029,2029 (New),2030 (New),2026-30 Total,,,
,,,,,,,Total Available Regional Highway Target Funds (FFYs 2026-30 TIP):,,,,,,"$128,427,689 ","$128,427,689 ","$125,285,688 ","$125,285,687 ","$155,132,143 ","$152,627,429 ","$158,052,175 ","$158,700,879 ","$161,030,608 ","$157,518,346 ","$160,037,411 ","$754,169,752 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Draft Total Programmed Regional Highway Target Funds:,,,,,,"$1,197,772","$127,962,693","$124,569,057","$122,615,097","$143,492,272","$151,147,420","$157,810,837","$156,604,600","$160,243,467","$155,699,104","$124,727,200","$710,793,421",,,
,,,,,,,Regional Highway Target Funds Remaining (Unprogrammed):,,,,,,"$127,229,917","$464,996","$716,631","$2,670,590","$11,639,871","$1,480,009","$241,338","$2,096,279","$787,141","$1,819,242","$35,310,211","$43,376,331",,,
,,,,,,,Percent Unprogrammed,,,,,,99.1%,0.4%,0.6%,2.1%,7.5%,1.0%,0.2%,1.3%,0.5%,1.2%,22.1%,5.8%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Projects in red text are identified as being high risk for staying on schedule based on information obtained at the February 2025 TIP readiness meeting.,,,,,,,,,,,,,,,,,,,,
,,,,,,,Projects in orange text were identified as candidates to remain on schedule if near-term issue resolution occurs.,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Red, bolded text on cost figures indicate a change in project funding, either an increase in cost and/or a delayed start year.",,,,,,,,,,,,,,,,,,,,
,,,,,,,"Black, bolded text on project names indicates an administrative line item. These line items often set aside funding to be allocated in future TIP cycles.  ",,,,,,,,,,,,,,,,,,,,
,,,,,,,Highlighting indicates a project was recommended to move out to a later TIP year.,,,,,,,,,,,,,,,,,,,,
,,,,,,,Highlighting indicates a project is proposed to be added to the TIP.  ,,,,,,,,,,,,,,,,,,,,
,,,,,,,Highlighting indicates a project is proposed to be removed from the TIP.,,,,,,,,,,,,,,,,,,,,
,,,,,,,Abbreviations,,,,,,,,,,,,,,,,,,,,
,,,,,,,"ADA = Americans with Disabilities Act. CATA = Cape Ann Transportation Authority.CNG = compressed natural gas. CTPS = Central Transportation Planning Staff. DE = Design Engineer. FFY = federal fiscal year.  GHG = greenhouse gas. MassDOT = Massachusetts Department of Transportation. MBTA = Massachusetts Bay Transportation Authority.  MCRT = Massachusetts Central Rail Trail. MPO = Metropolitan Planning Organization. MWRTA = MetroWest Regional Transit Authority.  N/A = not applicable.  NB = northbound. PINFO = MassDOT Project Info. PRC = MassDOT's Project Review Committee.  PS&E = Plans, Specifications, and Estimates. RRFB = Rectangular Rapid Flashing Beacon. RTA = Regional Transit Authority. SRTS = Safe Routes to School. TBD = to be determined.  TFPC = Total Federal Participating Cost. TIP = Transportation Improvement Program.                                                ",,,,,,,,,,,,,,,,,,,,
